code_parametre;libelle_norm;quoi;usage;molecule_mere;statut_autorisation;sources;fiabilite
#   molecule_mere         pour un métabolite ; vide sinon
#   statut_autorisation   l'état du droit AVEC SA DATE, jamais sans
#   sources               codes de docs/INDEX_SOURCES.md, séparés par |
#   fiabilite             verifie / a_verifier
#
# Séparateur de colonnes : point-virgule. NE JAMAIS en mettre dans une cellule
# (§5 du CLAUDE.md) — l'erreur a été commise deux fois sur le référentiel, et
# les deux fois rien ne l'a signalée. Plusieurs sources : barre verticale.
#
# ---------------------------------------------------------------------------
# La table est VIDE au 15 août 2026. Le sourçage se fait par lots, molécule par
# molécule, et chaque lot est un commit qui dit quelle source a été lue.
# L'ordre d'utilité est celui du répertoire : ce qui est cherché le plus
# souvent et quantifié le plus souvent d'abord.
# ===========================================================================
8865;Chlorothalonil R471811;Métabolite issu de la dégradation dans les sols du chlorothalonil. Aucun numéro CAS ne lui est associé dans l'avis qui l'évalue.;Le chlorothalonil était une substance active employée pour son activité fongicide.;Chlorothalonil;L'approbation européenne du chlorothalonil a pris fin le 30 avril 2019, par non-renouvellement (règlement d'exécution (UE) 2019/677). En France, l'Anses a retiré fin novembre 2019 vingt-cinq autorisations de mise sur le marché et huit permis de commerce parallèle de produits à base de cette substance.;MET-01;verifie
6854;ESA metolachlore;Métabolite du S-métolachlore, désigné CGA 354743 dans les dossiers d'évaluation européens.;Le S-métolachlore est une substance active herbicide.;S-métolachlore;À la date de l'avis, le 30 septembre 2022, la procédure européenne de réévaluation du S-métolachlore était en cours et l'avis n'en donne pas l'issue.;MET-06;verifie
1385;Sélénium;Élément présent dans la croûte terrestre, souvent associé à des minéraux soufrés. C'est un oligo-élément essentiel à l'homme.;Sa concentration dans les eaux souterraines peut être élevée là où les conditions géologiques s'y prêtent. Pour la population générale, la principale source d'apport est l'alimentation — céréales, viande, poisson — et non l'eau de boisson.;;;REG-01|REG-04;verifie
1457;Acrylamide;Ce qui est noté dans l'eau est le monomère résiduel, calculé d'après les spécifications de relargage maximal du polymère correspondant mis en contact avec l'eau.;;;;REG-01;verifie
7717;Chlorothalonil R417888;Métabolite issu de la dégradation du chlorothalonil (CAS 1418095-02-9), acide 2-amido-3,5,6-trichloro-4-cyanobenzènesulfonique.;Le chlorothalonil est une substance active phytopharmaceutique fongicide.;Chlorothalonil;Approbation européenne close le 30 avril 2019 par non-renouvellement (règlement (UE) 2019/677). En France, 25 AMM retirées fin novembre 2019.;MET-01|REG-08;verifie
6853;OXA metolachlore;Métabolite du métolachlore appelé métolachlore OXA ou CGA 51202 (CAS 152019-73-3), racémate d'un acide oxanilique.;Le S-métolachlore est une substance active herbicide.;S-métolachlore;Réévaluation européenne du S-métolachlore en cours au 14 janvier 2021, conclusions de l'Efsa non encore disponibles.;MET-08;verifie
7729;Metolachlor NOA 413173;Métabolite du métolachlore appelé NOA 413173, aussi R926901 ou SYN 547627 (CAS 1418095-19-8).;Le S-métolachlore est une substance active herbicide.;S-métolachlore;Réévaluation européenne du S-métolachlore toujours en cours au 30 septembre 2022.;MET-08|MET-11;verifie
2011;2,6 Dichlorobenzamide;Métabolite commun à trois substances actives mères (CAS 2008-58-4), désigné M-01, BAM ou AE C653711 dans les dossiers réglementaires.;Le chlorthiamide et le dichlobénil sont des herbicides benzonitriles. Le fluopicolide est un fongicide acylpicolide.;Chlorthiamide, dichlobénil et fluopicolide;Chlorthiamide plus autorisé dans l'UE depuis le 20 novembre 2002, dichlobénil depuis le 18 septembre 2008. Fluopicolide autorisé jusqu'au 31 mai 2023.;MET-10;verifie
6378;Chloridazone desphényl;Métabolite de la chloridazone appelé desphényl-chloridazone (DPC), 5-amino-4-chloro-3(2H)-pyridazinone (CAS 6339-19-1).;La chloridazone est une substance active herbicide de la famille des diazines.;Chloridazone;Chloridazone réapprouvée le 1er janvier 2009, autorisation européenne close le 31 décembre 2018. En France, 6 AMM retirées en octobre 2019.;MET-12;verifie
6379;Chloridazone méthyl desphényl;Métabolite de la chloridazone appelé méthyl-desphényl-chloridazone (MDPC), 5-amino-4-chloro-2-méthyl-3(2H)-pyridazinone (CAS 17254-80-7).;La chloridazone est une substance active herbicide de la famille des diazines.;Chloridazone;Autorisation européenne de la chloridazone close le 31 décembre 2018 (règlement d'exécution (UE) 540/2011).;MET-13;verifie
6381;CGA 354742;Métabolite du diméthachlore, identifié par l'Anses sous le CAS 1231710-75-0 quand le corpus porte 149490-60-8 : écart non tranché.;Le diméthachlore est une substance active herbicide de la famille des chloroacétanilides.;Diméthachlore;Diméthachlore autorisé à la mise sur le marché de l'Union européenne depuis le 1er janvier 2010 (directive 2009/77/CE).;MET-09;a_verifier
6864;Flufenacet ESA;Métabolite du flufénacet, acide 2-[(4-fluorophényl)isopropylamino]-2-oxoéthane sulfonique (CAS 201668-32-8), aussi appelé FOE 5043 ou M02.;Le flufénacet est une substance active herbicide de la famille des oxyacétamides.;Flufénacet;Réévaluation européenne du flufénacet en cours, avec un arrêt d'horloge de 30 mois à compter de juin 2019.;MET-09;verifie
2051;Terbuméton-désethyl;Métabolite du terbuméton appelé déséthyl-terbuméton, 2-amino-4-tert-butylamino-6-méthoxy-1,3,5-triazine (CAS 30125-64-5).;Le terbuméton est une substance active herbicide de la famille des triazines.;Terbuméton;Autorisations des produits contenant du terbuméton retirées en 2003, en application du règlement (CE) 2076/2002 du 20 novembre 2002.;MET-09;verifie
6800;ESA alachlore;Métabolite de l'alachlore, son acide éthane sulfonique (ESA), CAS 142363-53-9.;L'alachlore est une substance active herbicide.;Alachlore;Substance active mère déjà interdite au 30 janvier 2019, sans que la date ni le texte de l'interdiction soient établis.;MET-07;verifie
6855;OXA alachlore;Métabolite de l'alachlore, son acide oxanilique (OXA), CAS 171262-17-2.;L'alachlore est une substance active herbicide.;Alachlore;Substance active mère déjà interdite au 30 janvier 2019, sans que la date ni le texte de l'interdiction soient établis.;MET-07;verifie
6856;ESA acetochlore;Métabolite de l'acétochlore, son acide éthane sulfonique (ESA), CAS 187022-11-3.;L'acétochlore est une substance active herbicide.;Acétochlore;Substance active mère déjà interdite au 30 janvier 2019, sans que la date ni le texte de l'interdiction soient établis.;MET-07;verifie
6895;ESA metazachlore;Métabolite du métazachlore, son acide éthane sulfonique (ESA), CAS 172960-62-2.;Le métazachlore est une substance active herbicide.;Métazachlore;;MET-07;verifie
6894;OXA metazachlore;Métabolite du métazachlore, son acide oxanilique (OXA), CAS 1231244-60-2.;Le métazachlore est une substance active herbicide.;Métazachlore;;MET-07;verifie
6384;N,N-Dimethylsulfamide;Diméthylsulfamide (DMS), un des métabolites majeurs du tolylfluanide dans les ressources en eau.;Le tolylfluanide est un fongicide à large spectre d'action.;Tolylfluanide;;MET-07;verifie
7727;CGA 369873;Métabolite du diméthachlore. Le rattachement du CAS 1418095-08-5 porté par le corpus n'a pas été confirmé sur un avis lu.;Le diméthachlore est une substance active herbicide de la famille des chloroacétanilides.;Diméthachlore;Diméthachlore autorisé à la mise sur le marché de l'Union européenne depuis le 1er janvier 2010 (directive 2009/77/CE).;MET-05|MET-09;a_verifier
1907;AMPA;Acide aminométhylphosphonique (AMPA), métabolite du glyphosate.;;Glyphosate;;MET-05;a_verifier
;Aluminium dissous;Élément métallique le plus abondant, environ 8 % de la croûte terrestre (fiche OMS, 2009).;Les sels d'aluminium servent de coagulants en traitement de l'eau, emploi qui peut en élever la teneur dans l'eau produite. L'alimentation reste la voie d'exposition principale, l'eau de boisson moins de 5 % de l'apport oral.;;;REG-04;verifie
1370;Aluminium total µg/l;Élément métallique le plus abondant, environ 8 % de la croûte terrestre (fiche OMS, 2009).;Les sels d'aluminium servent de coagulants en traitement de l'eau, emploi qui peut en élever la teneur dans l'eau produite. L'alimentation reste la voie d'exposition principale, l'eau de boisson moins de 5 % de l'apport oral.;;;REG-04;verifie
;Arsenic;Élément répandu dans la croûte terrestre aux états d'oxydation -3, 0, +3 et +5, souvent en sulfures, arséniures ou arséniates. Arséniate (+5) dans l'eau, arsénite (+3) en conditions anaérobies.;Aucun usage industriel n'est cité. Teneurs plus élevées dans les eaux souterraines traversant gisements sulfurés et dépôts sédimentaires d'origine volcanique. Exposition surtout par l'alimentation et l'eau de boisson.;;;REG-04;verifie
1396;Baryum;Les composés du baryum se trouvent dans la nature en gisements de minerai et dans les roches ignées et sédimentaires (fiche OMS, 2016).;Ils servent à des applications industrielles variées. Le baryum de l'eau vient surtout de sources naturelles, aussi des émissions industrielles et des usages anthropiques. L'alimentation est la source principale d'apport.;;;REG-04;verifie
1362;Bore mg/L;Dans les eaux souterraines, le bore vient surtout du lessivage des roches et des sols contenant borates et borosilicates (fiche OMS, 2009). L'eau dessalée et certaines conditions géologiques en portent davantage.;Les composés du bore entrent dans la fabrication du verre, des savons et des détergents, et servent de retardateurs de flamme. Les rejets d'eaux usées peuvent accroître la teneur en borates des eaux de surface.;;;REG-01|REG-04;verifie
1371;Chrome hexavalent;Le chrome est largement distribué dans la croûte terrestre. Il existe aux valences -2 à +6, mais surtout sous les formes trivalente (III) et hexavalente (VI), celle que désigne ce paramètre.;Aucun usage industriel n'est détaillé. Les teneurs élevées relèvent de sources naturelles ou d'une contamination anthropique, et la spéciation dans l'eau est peu documentée. L'alimentation est la principale voie d'apport.;;;REG-04;verifie
;Cuivre;À la fois nutriment essentiel et contaminant de l'eau de boisson.;Il sert à faire tuyaux et raccords, alliages et revêtements. Le sulfate de cuivre pentahydraté est parfois ajouté aux eaux de surface contre les algues. Rarement contaminant de l'eau brute, il vient de la corrosion de la plomberie intérieure.;;;REG-04;verifie
1393;Fer total;Un des métaux les plus abondants de la croûte terrestre, naturellement présent dans les eaux douces et essentiel en nutrition humaine, surtout à l'état fer(II) (fiche OMS, 1993).;Deux origines : la présence naturelle dans la ressource, et l'eau distribuée elle-même, par les coagulants au fer employés en traitement et par la corrosion des canalisations d'acier et de fonte.;;;REG-04;verifie
;Manganèse dissous;Un des métaux les plus abondants de la croûte terrestre, où il accompagne le fer. Onze états d'oxydation, manganèse(II) et (IV) dans les eaux naturelles. Oligo-élément essentiel (fiche OMS, 2020).;Employé surtout dans les alliages de fer et d'acier, les permanganates servant au nettoyage et à la désinfection. Deux origines : présence naturelle dans les eaux, prédominante, et apports anthropiques dont le traitement de l'eau.;;;REG-04;verifie
1394;Manganèse total;Un des métaux les plus abondants de la croûte terrestre, où il accompagne le fer. Onze états d'oxydation, manganèse(II) et (IV) dans les eaux naturelles. Oligo-élément essentiel (fiche OMS, 2020).;Employé surtout dans les alliages de fer et d'acier, les permanganates servant au nettoyage et à la désinfection. Deux origines : présence naturelle dans les eaux, prédominante, et apports anthropiques dont le traitement de l'eau.;;;REG-04;verifie
;Ammonium (en NH4);Terme qui recouvre les espèces non ionisée (NH3) et ionisée (NH4+) de l'ammoniaque (fiche OMS, 1993).;Pas d'usage dans l'eau : vient de processus métaboliques, agricoles et industriels et de la chloramination. Indice d'une pollution possible par eaux usées ou déjections animales.;;;REG-04;verifie
1337;Chlorures;Vient de sources naturelles, des eaux usées et effluents industriels, du ruissellement urbain chargé de sel de déverglaçage et des intrusions salines (fiche OMS, 1993).;Principale source d'exposition humaine : le sel ajouté aux aliments, bien au-delà de l'apport de l'eau. Un excès accroît la corrosion des métaux du réseau et peut rendre un goût perceptible.;;;REG-04;verifie
;Chlorite en  mg/L;Sous-produit de désinfection né de l'emploi du dioxyde de chlore, et de la décomposition des solutions d'hypochlorite stockées longtemps (fiche OMS, 2016).;Le chlorite de sodium sert à produire le dioxyde de chlore et à d'autres fins commerciales. Là où l'un ou l'autre désinfecte, l'eau de boisson est la voie principale d'exposition.;Dioxyde de chlore;;REG-04;verifie
1735;Chlorites en cas de traitement pouvant en générer;Sous-produit de désinfection né de l'emploi du dioxyde de chlore, et de la décomposition des solutions d'hypochlorite stockées longtemps (fiche OMS, 2016).;Le chlorite de sodium sert à produire le dioxyde de chlore et à d'autres fins commerciales. Là où l'un ou l'autre désinfecte, l'eau de boisson est la voie principale d'exposition.;Dioxyde de chlore;;REG-04;verifie
1375;Sodium;Les sels de sodium, chlorure de sodium en tête, sont dans la quasi-totalité des aliments — principale source d'exposition — et dans l'eau (fiche OMS, 1993).;Certains adoucisseurs peuvent en ajouter notablement à l'eau. Aucune conclusion ferme sur une association entre le sodium de l'eau et la survenue d'une hypertension.;;;REG-04;verifie
1338;Sulfates;Naturellement présents dans de nombreux minéraux, les teneurs les plus fortes se rencontrant dans les eaux souterraines, d'origine naturelle (fiche OMS, 2003).;Usage commercial, surtout en industrie chimique, et rejets par les effluents industriels et les dépôts atmosphériques. Peuvent rendre un goût perceptible et contribuer à la corrosion des réseaux.;;;REG-04;verifie
7073;Fluorures mg/L;Le fluor, élément commun de la croûte terrestre, est présent sous forme de fluorures dans la fluorine, la cryolithe et la fluorapatite, et en traces dans beaucoup d'eaux (fiche OMS, 2003).;Largement employé dans les préparations dentaires contre la carie — comprimés, bains de bouche, dentifrices, vernis, gels. Certains pays en ajoutent au sel de table ou à l'eau.;;;REG-04;verifie
1340;Nitrates (en NO3);Ion (NO3-) naturellement présent dans l'environnement, nutriment important des plantes et partie du cycle de l'azote (fiche OMS, 2016).;Arrive dans l'eau par l'activité agricole — engrais azotés et effluents d'élevage en excès —, les eaux usées, l'oxydation des excreta et la nitrification en réseau. Première source d'exposition : les légumes, sauf pour le nourrisson au biberon.;;;REG-04;verifie
6374;Nitrates/50 + Nitrites/3;Grandeur calculée, non substance : somme du rapport de la concentration en nitrates à sa valeur de référence et de celui des nitrites à la sienne.;Posée pour tenir compte de l'occurrence simultanée des deux ions dans l'eau. La directive (UE) 2020/2184 en fait une condition à respecter.;;;REG-01|REG-04;verifie
1135;Chloroforme;Trihalométhane, le plus commun des quatre et principal sous-produit de désinfection des eaux chlorées, nés de la chloration de la matière organique de l'eau brute (fiche OMS, 2004).;Pas d'usage dans l'eau, une origine de traitement. En présence de bromures, les trihalométhanes bromés priment et le chloroforme décroît. Volatils, ils passent en grande partie dans l'air.;;;REG-04;verifie
1753;Chlorure de vinyl monomère;Substance de forte volatilité, rare en eaux de surface hors zone contaminée, signalée en eaux souterraines comme produit de dégradation du trichloroéthylène et du tétrachloroéthylène (fiche OMS, 2003).;Sert principalement à produire le PVC. La migration du monomère depuis les conduites en PVC non plastifié est une source possible dans l'eau, l'inhalation restant la voie d'apport principale.;;;REG-04;verifie
1272;Tétrachloroéthylène-1,1,2,2;Solvant chloré répandu dans l'environnement, présent en traces dans l'eau, les organismes aquatiques, l'air, les aliments et les tissus humains, plus concentré en eaux souterraines qu'en surface.;Solvant du nettoyage à sec, moins souvent dégraissant, en fort recul depuis les années 1980 du fait des réglementations. Mauvaises manipulations et décharges ont été les causes principales de contamination.;;;REG-04;verifie
2963;Tétrachloroéthylèn+Trichloroéthylène;Grandeur calculée, non substance : somme des concentrations de deux solvants chlorés, tétrachloroéthylène et trichloroéthylène, réunis en un paramètre unique par la directive (UE) 2020/2184.;Le premier est un solvant du nettoyage à sec et du dégraissage, en recul depuis les années 1980, le second un dégraissant des métaux, en recul depuis les années 1990.;;;REG-01|REG-04;verifie
1309;Coloration;Grandeur de perception, non substance : la couleur visible de l'eau, due surtout à la matière organique colorée du sol, acides humiques et fulviques, et au fer et autres métaux.;Peut aussi venir d'effluents industriels et donner la première indication d'une situation de danger. Prononcée et d'origine organique naturelle, elle signale une propension aux sous-produits de désinfection.;;;REG-04;verifie
;Turbidité néphélométrique NFU;Grandeur de mesure, non substance : le trouble de l'eau, causé par des particules en suspension (argiles, limons), des précipités chimiques (manganèse, fer), des particules organiques et des organismes.;Vient d'une ressource dégradée, d'un traitement insuffisant, de la remise en suspension de sédiments et biofilms ou de l'entrée d'eau sale par rupture de conduite. Peut signaler des contaminants chimiques et microbiens.;;;REG-04;verifie
1295;Turbidité néphélométrique NTU;Grandeur de mesure, non substance : le trouble de l'eau, causé par des particules en suspension (argiles, limons), des précipités chimiques (manganèse, fer), des particules organiques et des organismes.;Vient d'une ressource dégradée, d'un traitement insuffisant, de la remise en suspension de sédiments et biofilms ou de l'entrée d'eau sale par rupture de conduite. Peut signaler des contaminants chimiques et microbiens.;;;REG-04;verifie
1141;2,4-D;Acide 2,4-dichlorophénoxyacétique, herbicide de la famille des chlorophénoxy, commercialisé en acide libre, sels et esters.;Herbicide systémique employé contre les adventices à feuilles larges, y compris les adventices aquatiques.;;;REG-04;verifie
1212;2,4-MCPA;Herbicide de la famille des acides phénoxyacétiques, présent en acide libre, sel de diméthylamine, sel de sodium ou ester.;Herbicide de post-levée largement utilisé contre les adventices à feuilles larges en agriculture, horticulture, prairies et pelouses.;;;REG-04;verifie
1107;Atrazine;Substance active herbicide de la classe des chlorotriazines. Elle donne des métabolites chloro-s-triazine — dont l'atrazine déséthyl — retrouvés en eaux de surface et en eaux souterraines.;Herbicide systémique sélectif, appliqué en pré-levée ou en post-levée précoce contre les adventices annuelles à feuilles larges et les graminées.;;Échelon français : deux décisions du ministre de l'agriculture des 22 et 24 octobre 2001 ont abrogé les autorisations de mise sur le marché des produits contenant de l'atrazine, avec écoulement jusqu'aux 30 septembre 2002 et 2003.;REG-04|REG-12;verifie
1113;Bentazone;Substance active herbicide, très soluble dans l'eau, très résistante à l'hydrolyse et très mobile dans le sol.;Herbicide de post-levée pour le contrôle sélectif des adventices à feuilles larges et des laîches dans diverses cultures.;;;REG-04;verifie
1136;Chlortoluron;Substance active herbicide, lentement biodégradable et mobile dans le sol (fiche OMS, 1993).;Herbicide appliqué en pré-levée ou en post-levée précoce.;;;REG-04;verifie
1172;Dicofol;Acaricide organochloré fabriqué à partir du DDT, peu soluble dans l'eau et fortement retenu par les sols.;Lutte par contact, non systémique, contre les acariens phytophages du coton, du thé et de nombreuses cultures fruitières, maraîchères et ornementales.;;;REG-04;verifie
1830;Atrazine déséthyl déisopropyl;Métabolite chloro-s-triazine de l'atrazine, recensé par l'Anses parmi les métabolites de pesticides des EDCH (CAS 3397-62-4, SANDRE 1830).;L'atrazine est un herbicide systémique sélectif employé en pré-levée ou post-levée précoce contre les adventices annuelles et les graminées.;Atrazine;;REG-04|MET-07;verifie
7716;2-Aminosulfonyl-N,N-dimethylnicotin;Métabolite de pesticide inscrit au programme d'expertise de l'Anses sur la pertinence pour les EDCH (saisine 2021-SA-0020, avis -c et -d annoncés).;Le nicosulfuron est un herbicide sulfonylurée de post-levée employé contre les adventices à feuilles larges et les graminées du maïs.;Nicosulfuron;;MET-10|IDEN-01;a_verifier
1944;CMBA;Paramètre recensé par l'Anses parmi les métabolites de pesticides présents dans les EDCH (CAS 53250-83-2, SANDRE 1944). Molécule mère non nommée par la source.;;;;MET-07;verifie
1951;Azoxystrobine;Substance active fongicide de la famille des strobilurines, à action systémique translaminaire et préventive (CAS 131860-33-8).;Fongicide à large spectre contre rouilles, oïdiums et brûlures, sur céréales, vigne, agrumes, fraise, pomme de terre, soja et cultures légumières.;;;IDEN-01;a_verifier
2546;Dimétachlore;Substance active herbicide de la famille des chloroacétamides (CAS 50563-36-5).;Herbicide de pré-levée contre les graminées annuelles et les dicotylédones, sur colza d'hiver, soja et betterave sucrière.;;;IDEN-01;a_verifier
2094;Dalapon 85;Herbicide organochloré de la famille des acides carboxyliques, également décrit comme régulateur de croissance (CAS 75-99-0).;Employé sur coton, cultures fruitières, pomme de terre, canne à sucre, carotte, luzerne, asperge, lin, et en zones non cultivées.;;;IDEN-01;a_verifier
2094;Dalapon spd;Herbicide organochloré de la famille des acides carboxyliques, également décrit comme régulateur de croissance (CAS 75-99-0).;Employé sur coton, cultures fruitières, pomme de terre, canne à sucre, carotte, luzerne, asperge, lin, et en zones non cultivées.;;;IDEN-01;a_verifier
1474;Chlorprophame;Substance active de la famille des carbamates, herbicide et régulateur de croissance (CAS 101-21-3).;Herbicide de prélevée rémanent et antigerminatif de la pomme de terre, également employé sur luzerne, betterave, tomate, laitue et ail.;;;IDEN-01;a_verifier
1105;Aminotriazole;Substance active herbicide de la famille des triazoles, également appelée amitrole (CAS 61-82-5).;Herbicide contre graminées vivaces et dicotylédones, en vigne, plantations et zones non cultivées.;;;IDEN-01;a_verifier
5313;Acide Hydroxybenzoïque;La fiche SANDRE du paramètre 5313 donne l'anion salicylate, nom IUPAC anion 2-hydroxybenzoate (CAS 63-36-5), sans rattachement aux pesticides ni à leurs métabolites.;;;;SAND-01;a_verifier
1506;Glyphosate;Herbicide à large spectre (CAS 1071-83-6), chimiquement stable dans l'eau. Sa faible mobilité dans le sol limite le passage vers les nappes.;Désherbage en agriculture, en sylviculture et en milieu aquatique. Sa biodégradation microbienne donne l'AMPA (fiche OMS, 2003).;;;REG-04;verifie
1940;Flufenacet;Substance active phytopharmaceutique de la famille des oxyacétamides, désignée FOE dans les dossiers réglementaires européens.;Herbicide.;;Réévaluation européenne en cours au 4 février 2020, sous arrêt d'horloge de 30 mois à compter de juin 2019 pour compléter le dossier de renouvellement.;MET-09;verifie
5537;HCH alpha+beta+delta+gamma;Somme de quatre isomères de l'hexachlorocyclohexane, alpha, bêta, delta et gamma. Le gamma-HCH est le lindane, seul isomère que la source documente.;Le lindane est un insecticide employé sur cultures fruitières et maraîchères, en traitement de semences et en forêt (fiche OMS, 2003).;;;REG-04;a_verifier
1678;Diméthénamide;Substance active herbicide de la famille des chloroacétamides, aussi rangée parmi les amides (CAS 87674-68-8).;Désherbage du maïs grain, du colza, du soja et de la vigne.;;;IDEN-01;a_verifier
1176;Dinoterbe;Substance active herbicide de la famille des dinitrophénols (CAS 1420-07-1).;Désherbage des pommiers, de la vigne, des céréales, des légumineuses, du maïs et du coton.;;;IDEN-01;a_verifier
5478;Diphenylamine;Substance active (CAS 122-39-4) à laquelle la source attribue trois types d'action : régulateur de croissance, fongicide et insecticide.;Traitement des fruits après récolte, pommes et poires, contre l'échaudure de l'épiderme.;;;IDEN-01;a_verifier
2093;Ethephon;Substance active régulatrice de croissance des végétaux (CAS 16672-87-0), rangée parmi les libérateurs d'éthylène.;Employée sur céréales, fruits dont l'ananas et les petits fruits, café, plantes ornementales, tabac et hévéa.;;;IDEN-01;a_verifier
6601;Ethyleneuree;Produit de transformation chimique (CAS 120-93-4), distinct de l'éthylènethiourée (CAS 96-45-7) qui est un autre paramètre du corpus.;Décrite aussi comme un régulateur de croissance des insectes aujourd'hui obsolète.;Manèbe, mancozèbe, métirame;;IDEN-01;a_verifier
1700;Fenpropidin;Substance active fongicide de la famille des pipéridines (CAS 67306-00-7), et non un herbicide.;Employée sur céréales, blé et orge, contre l'oïdium, la rhynchosporiose, les rouilles brune et jaune et les taches foliaires.;;;IDEN-01;a_verifier
1816;Fosetyl;Substance active fongicide organophosphorée (CAS 15845-66-6), que la source donne aussi comme métabolite de sol.;Employée sur fruits dont vigne, pommes, poires et petits fruits, ginseng, laitue, oignon, brocoli, tabac, gazons et ornementales.;Fosétyl-aluminium;;IDEN-01;a_verifier
1975;Fosetyl-aluminium;Substance active fongicide organophosphorée (CAS 39148-24-8), dont le fosétyl figure parmi les métabolites de sol connus.;Employée sur fruits dont vigne, pommes, poires et petits fruits, ginseng, laitue, oignon, brocoli, tabac, gazons et ornementales.;;;IDEN-01;a_verifier
1500;Fénuron;Substance active herbicide de la famille des urées, sous-famille des phénylurées (CAS 101-42-8).;Désherbage de l'épinard, des pois et haricots, de la betterave sucrière et des fruits, contre adventices à feuilles larges et ligneux.;;;IDEN-01;a_verifier
1526;Glufosinate;Substance active herbicide organophosphorée (CAS 51276-47-2). Formes voisines répertoriées : glufosinate-ammonium, glufosinate-P et glufosinate-P-ammonium.;Désherbage du colza, de la pomme de terre, du maïs, du soja et des zones non cultivées.;;;IDEN-01;a_verifier
2986;Imazamox;Substance active herbicide de la famille des imidazolinones (CAS 114311-32-9), portée comme candidate à la substitution au sens européen.;Désherbage des milieux aquatiques, des légumineuses alimentaires, du soja, de la luzerne, du tournesol et du colza d'hiver.;;;IDEN-01;a_verifier
1877;Imidaclopride;Substance active insecticide de la famille des néonicotinoïdes, aussi rangée parmi les guanidines (CAS 138261-41-3).;Employée sur riz, céréales, maïs, pomme de terre, betterave sucrière et gazons, et comme substance à usage vétérinaire sur animaux de compagnie.;;;IDEN-01;a_verifier
1406;Lenacile;Substance active herbicide de la famille des uraciles (CAS 2164-08-1).;Désherbage des betteraves sucrière, rouge et fourragère, de la canne à sucre, des ornementales, des groseilliers, de l'épinard et du navet.;;;IDEN-01;a_verifier
1221;Métolachlore;Substance active phytopharmaceutique (CAS 51218-45-2), assez mobile : elle peut gagner les eaux souterraines mais se rencontre surtout en eaux de surface (fiche OMS, 1993).;Herbicide sélectif appliqué en pré-levée sur un certain nombre de cultures.;;;REG-04;verifie
2045;Terbuthylazin déséthyl;Métabolite de pesticide de la liste SISE-Eaux (CAS 30125-63-4), rangé par l'Anses parmi ceux dont l'activité biologique est jugée semblable à celle du composé parent.;Herbicide de la famille des chlorotriazines, la terbuthylazine s'emploie en pré-levée comme en post-levée sur des cultures agricoles variées et en forêt (fiche OMS, 1998).;Terbuthylazine;;MET-07|REG-04;verifie
2974;S-Métolachlore;Substance active phytopharmaceutique, molécule mère du métabolite ESA (CGA 354743). Non classée CMR au titre du règlement CLP (CE) n° 1272/2008 au 30 septembre 2022.;Le S-métolachlore présente une activité herbicide.;;Réévaluation européenne de la substance active toujours en cours au 30 septembre 2022, arrêt d'horloge depuis novembre 2020 sur demande de données de l'Efsa.;MET-06;verifie
6276;Total des pesticides analysés;Agrégat et non une substance. Dans la réglementation EDCH, le total pesticides est la somme de tous les pesticides individualisés détectés et quantifiés, métabolites et produits de dégradation pertinents compris.;;;;REG-08;verifie
